Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18AN62NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",62nH,±2%,280mA,,0.51Ω,2300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN62NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",62nH,±5%,280mA,,0.51Ω,2300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN68NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",68nH,±2%,340mA,,0.38Ω,2200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN68NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",68nH,±5%,340mA,,0.38Ω,2200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN6N2C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",6.2nH,±0.2nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN6N2D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",6.2nH,±0.5nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN6N8C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",6.8nH,±0.2nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN6N8D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",6.8nH,±0.5nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN72NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",72nH,±2%,270mA,,0.56Ω,2100MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN72NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",72nH,±5%,270mA,,0.56Ω,2100MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN75NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",75nH,±2%,270mA,,0.56Ω,2050MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN75NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",75nH,±5%,270mA,,0.56Ω,2050MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN7N5C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",7.5nH,±0.2nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN7N5D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",7.5nH,±0.5nH,750mA,,0.082Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN82NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",82nH,±2%,250mA,,0.60Ω,2000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN82NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",82nH,±5%,250mA,,0.60Ω,2000MHz,LQW18AN_00
