Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	140℃	WoundNonmag",LQW15AW68NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",68nH,±3%,480mA,,0.56Ω,1.8GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW68NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",68nH,±5%,480mA,,0.56Ω,1.8GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW75NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",75nH,±2%,450mA,,0.61Ω,1.8GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW75NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",75nH,±3%,450mA,,0.61Ω,1.8GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW75NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",75nH,±5%,450mA,,0.61Ω,1.8GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW82NG80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",82nH,±2%,370mA,,0.87Ω,1.7GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW82NH80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",82nH,±3%,370mA,,0.87Ω,1.7GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AW82NJ80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",82nH,±5%,370mA,,0.87Ω,1.7GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR10G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",100nH,±2%,350mA,,1Ω,1.6GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR10H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",100nH,±3%,350mA,,1Ω,1.6GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR10J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",100nH,±5%,350mA,,1Ω,1.6GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR12G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",120nH,±2%,320mA,,1.2Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR12H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",120nH,±3%,320mA,,1.2Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR12J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",120nH,±5%,320mA,,1.2Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR15G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",150nH,±2%,280mA,,1.71Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR15H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",150nH,±3%,280mA,,1.71Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR15J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",150nH,±5%,280mA,,1.71Ω,1.4GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR16G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",160nH,±2%,280mA,,1.86Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR16H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",160nH,±3%,280mA,,1.86Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR16J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",160nH,±5%,280mA,,1.86Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR18G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",180nH,±2%,260mA,,2.2Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR18H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",180nH,±3%,260mA,,2.2Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR18J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",180nH,±5%,260mA,,2.2Ω,1.3GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR22G80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",220nH,±2%,220mA,,2.75Ω,1.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR22H80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",220nH,±3%,220mA,,2.75Ω,1.1GHz,LQW15AW_80
"In Production","General	140℃	WoundNonmag",LQW15AWR22J80#,"1.02 ±0.1mm","0.61 ±0.1mm","0.61 ±0.05mm","0402 (1005)",220nH,±5%,220mA,,2.75Ω,1.1GHz,LQW15AW_80
