Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	85℃	Film",LQP15MN1N8W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.8nH,±0.05nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N9W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.9nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN22NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",22nH,±2%,70mA,,2.6Ω,2800MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN27NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",27nH,±2%,70mA,,3.1Ω,2500MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N0B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.0nH,±0.1nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N0W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.0nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N1W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.1nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N2B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.2nH,±0.1nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N2W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.2nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N3W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.3nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN2N4B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",2.4nH,±0.1nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
