Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	Multilayer",LQG15HSR10H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",100nH,±3%,200mA,,1.25Ω,600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR10J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",100nH,±5%,200mA,,1.25Ω,600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR12G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",120nH,±2%,200mA,,1.3Ω,600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR12H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",120nH,±3%,200mA,,1.3Ω,600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR12J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",120nH,±5%,200mA,,1.3Ω,600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR15G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",150nH,±2%,150mA,,2.99Ω,550MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR15H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",150nH,±3%,150mA,,2.99Ω,550MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR15J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",150nH,±5%,150mA,,2.99Ω,550MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR18G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",180nH,±2%,150mA,,3.38Ω,500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR18H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",180nH,±3%,150mA,,3.38Ω,500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR18J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",180nH,±5%,150mA,,3.38Ω,500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR22G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",220nH,±2%,120mA,,3.77Ω,450MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR22H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",220nH,±3%,120mA,,3.77Ω,450MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR22J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",220nH,±5%,120mA,,3.77Ω,450MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR27G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",270nH,±2%,110mA,,4.94Ω,400MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR27H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",270nH,±3%,110mA,,4.94Ω,400MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HSR27J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",270nH,±5%,110mA,,4.94Ω,400MHz,LQG15HS_02
