Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN3N2C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.2nH,±0.2nH,500mA,,0.17?,14.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N2D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.2nH,±0.5nH,500mA,,0.17?,14.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N9B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.9nH,±0.1nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N9C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.9nH,±0.2nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN3N9D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),3.9nH,±0.5nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN40NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),40nH,±2%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN40NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),40nH,±3%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN40NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),40nH,±5%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN43NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),43nH,±2%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN43NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),43nH,±3%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN43NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),43nH,±5%,250mA,,0.70?,3.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN47NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),47nH,±2%,210mA,,1.08?,2.9GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN47NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),47nH,±3%,210mA,,1.08?,2.9GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN47NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),47nH,±5%,210mA,,1.08?,2.9GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N1B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.1nH,±0.1nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N1C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.1nH,±0.2nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N1D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.1nH,±0.5nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N3B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.3nH,±0.1nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N3C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.3nH,±0.2nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N3D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.3nH,±0.5nH,750mA,,0.07?,10.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N4B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.4nH,±0.1nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N4C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.4nH,±0.2nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N4D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.4nH,±0.5nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N5B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.5nH,±0.1nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N5C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.5nH,±0.2nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N5D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.5nH,±0.5nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N6B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.6nH,±0.1nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N6C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.6nH,±0.2nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N6D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.6nH,±0.5nH,750mA,,0.07?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN4N7B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),4.7nH,±0.1nH,750mA,,0.07?,8.0GHz,LQW15AN_00
