Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N7D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.7nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.7nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N9B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.9nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N9C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.9nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N9D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.9nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.9nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN43NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",43nH,±2%,515mA,,0.516Ω,3.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN43NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",43nH,±5%,515mA,,0.516Ω,3.4GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN47NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",47nH,±2%,440mA,,0.648Ω,3.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN47NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",47nH,±5%,440mA,,0.648Ω,3.2GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.1nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.2nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.5nH,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±2%,1950mA,,0.030Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N1B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.1nH,±0.1nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N1C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.1nH,±0.2nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N1D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.1nH,±0.5nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.1nH,±2%,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.1nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.2nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.5nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±2%,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N3B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.3nH,±0.1nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N3C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.3nH,±0.2nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N3D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.3nH,±0.5nH,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.3nH,±2%,1800mA,,0.044Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N4B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.4nH,±0.1nH,1600mA,,0.052Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N4C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.4nH,±0.2nH,1600mA,,0.052Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N4D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.4nH,±0.5nH,1600mA,,0.052Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.4nH,±2%,1600mA,,0.052Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N5B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.5nH,±0.1nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N5C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.5nH,±0.2nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N5D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.5nH,±0.5nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.5nH,±2%,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N6B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.6nH,±0.1nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N6C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.6nH,±0.2nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N6D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.6nH,±0.5nH,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.6nH,±2%,1450mA,,0.060Ω,9.6GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±0.1nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±0.2nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±0.5nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±2%,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N8B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.8nH,±0.1nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N8C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.8nH,±0.2nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N8D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.8nH,±0.5nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.8nH,±2%,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N9B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.9nH,±0.1nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N9C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.9nH,±0.2nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N9D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.9nH,±0.5nH,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.9nH,±2%,1200mA,,0.071Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN51NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",51nH,±2%,415mA,,0.696Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN51NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",51nH,±5%,415mA,,0.696Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN53NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",53nH,±2%,415mA,,0.696Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN53NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",53nH,±5%,415mA,,0.696Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN56NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",56nH,±2%,340mA,,0.996Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN56NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",56nH,±5%,340mA,,0.996Ω,2.9GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N0B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.0nH,±0.1nH,1770mA,,0.040Ω,10GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N0C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.0nH,±0.2nH,1770mA,,0.040Ω,10GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N0D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.0nH,±0.5nH,1770mA,,0.040Ω,10GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.0nH,±2%,1770mA,,0.040Ω,10.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N3G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.3nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N4G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.4nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N5G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.5nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N6G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.6nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N7G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.7nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N8B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.8nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N8C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.8nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N8D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.8nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N8G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.8nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±0.1nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±0.2nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±0.5nH,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N9G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.9nH,±2%,1770mA,,0.040Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN68NG80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",68nH,±2%,320mA,,1.128Ω,2.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN68NJ80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",68nH,±5%,320mA,,1.128Ω,2.5GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0B80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±0.1nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0C80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±0.2nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0D80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±0.5nH,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN6N0G80#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",6.0nH,±2%,1600mA,,0.056Ω,8.0GHz,LQW15AN_80
