Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E200JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,20pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E220FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,22pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E220GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,22pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E220JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,22pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E240FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,24pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E240GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,24pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E240JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,24pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E270FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,27pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E270GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,27pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E270JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,27pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E300FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,30pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E300GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,30pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E300JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,30pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E330FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,33pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E330GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,33pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E330JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,33pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E360FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,36pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E360GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,36pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E360JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,36pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E390FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,39pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E390GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,39pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E390JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,39pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E430FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,43pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E430GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,43pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E430JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,43pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E470FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,47pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E470GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,47pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1872C2E470JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","CH (JIS)",250Vdc,47pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E100FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,10pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E100RB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,10pF,±2.5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E101FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,100pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E101GB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,100pF,±2%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E101JB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,100pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E110FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,11pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E120FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,12pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E130FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,13pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E150FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,15pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E160FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,16pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E180FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,18pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R0DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R0WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.0pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R1DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R1WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.1pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R2DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R2WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.2pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R3DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R3WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.3pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R4BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.4pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R4CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.4pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R4DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R4WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.4pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R5DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R5WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.5pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R6DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R6WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.6pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R7BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.7pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R7CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.7pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R7DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R7WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.7pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R8DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R8WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.8pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R9BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.9pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R9CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R9DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E1R9WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,1.9pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E200FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,20pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E220FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,22pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E240FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,24pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E270FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,27pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R0DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R0WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.0pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R1BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.1pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R1CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R1DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R1WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.1pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R2DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R2WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.2pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R3BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.3pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R3CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.3pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R3DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R3WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.3pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R4DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R4WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.4pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R5BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.5pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R5CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.5pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R5DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R5WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.5pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R6BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.6pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R6CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.6pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R6DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R6WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.6pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R7DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R7WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.7pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R8BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.8pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R8CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.8pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R8DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R8WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.8pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R9BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.9pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R9CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R9DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E2R9WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,2.9pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E300FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,30pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E330FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,33pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E360FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,36pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E390FB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,39pF,±1%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R0DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R0WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.0pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R1BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.1pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R1CB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R1DB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R1WB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.1pF,±0.05pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering	Flow soldering",SMD,GQM1875C2E3R2BB12#,"1.6 ±0.15mm","0.8 ±0.15mm","0.7 ±0.1mm","C0G (EIA)",250Vdc,3.2pF,±0.1pF,
