Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E7R6DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,7.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E7R7DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,7.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E7R8DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,7.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E7R9DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,7.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R0DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R1DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R2DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R3DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R4DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R5DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R6DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R7DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R8DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E8R9DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,8.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R0DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R1DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R2DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R3DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R4DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R5DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R6DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R7DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R8DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E9R9DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,9.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R1CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R2CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.2pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R3CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.3pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R4CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.4pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R5CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.5pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R6CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.6pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R7CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.7pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R8CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.8pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E2R9CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,2.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R1CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R2CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.2pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R3CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.3pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R4CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.4pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R5CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.5pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R6CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.6pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R7CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.7pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R8CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.8pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0223C1E3R9CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CJ (JIS)",25Vdc,3.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R1CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R2CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.2pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R3CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.3pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R4CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.4pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R5CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.5pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R6CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.6pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R7CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.7pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R8CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.8pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E1R9CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,1.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1E2R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,2.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER20BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.20pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER30BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.30pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER40BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.40pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER50BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.50pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER60BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.60pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER70BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.70pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER80BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.80pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0224C1ER90BB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CK (JIS)",25Vdc,0.90pF,±0.1pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E100JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,10pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E110JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,11pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E120JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,12pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E130JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,13pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E150JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,15pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E160JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,16pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E180JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,18pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E1R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,1.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0225C1E1R1CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","C0G (EIA)",25Vdc,1.1pF,±0.25pF,
